2026-06-26 02:23:48,389 | INFO | Logger initialized.
2026-06-26 02:23:48,919 | INFO | Downloaded ^GSPC (370 rows)
2026-06-26 02:23:48,923 | INFO | Market cache saved.
2026-06-26 02:30:09,202 | INFO | Logger initialized.
2026-06-26 02:30:09,210 | INFO | ============================================================
2026-06-26 02:30:09,211 | INFO | Global Energy Stress OS
2026-06-26 02:30:09,211 | INFO | ============================================================
2026-06-26 02:30:09,573 | INFO | Downloaded CL=F (1377 rows)
2026-06-26 02:30:09,654 | INFO | Downloaded BZ=F (1378 rows)
2026-06-26 02:30:09,740 | INFO | Downloaded ^OVX (1375 rows)
2026-06-26 02:30:09,839 | INFO | Downloaded ^MOVE (1363 rows)
2026-06-26 02:30:09,928 | INFO | Downloaded DX-Y.NYB (1377 rows)
2026-06-26 02:30:10,028 | INFO | Downloaded JPY=X (1425 rows)
2026-06-26 02:30:10,134 | INFO | Downloaded GC=F (1377 rows)
2026-06-26 02:30:10,227 | INFO | Downloaded HG=F (1378 rows)
2026-06-26 02:30:10,292 | INFO | Downloaded ^GSPC (1375 rows)
2026-06-26 02:30:10,608 | INFO | Downloaded XLE (1375 rows)
2026-06-26 02:30:10,737 | INFO | Downloaded ^VIX (1376 rows)
2026-06-26 02:30:10,852 | INFO | Downloaded ^VVIX (1369 rows)
2026-06-26 02:30:10,936 | INFO | Downloaded ^SKEW (1335 rows)
2026-06-26 02:30:10,979 | INFO | Market cache saved.
2026-06-26 02:30:10,980 | INFO | Market Layer completed.
2026-06-26 02:30:30,495 | WARNING | GDELT status 429 for Hormuz Strait
2026-06-26 02:30:42,649 | WARNING | GDELT status 429 for Iran oil
2026-06-26 02:31:13,635 | WARNING | GDELT status 429 for Middle East tanker
2026-06-26 02:31:25,646 | WARNING | GDELT status 429 for Saudi OSP
2026-06-26 02:31:37,962 | WARNING | GDELT status 429 for VLCC
2026-06-26 02:31:42,454 | INFO | Completed.
2026-06-26 02:31:42,454 | INFO | Date: 2026-06-25
2026-06-26 02:31:42,454 | INFO | War Premium Score: 0.415
2026-06-26 02:31:42,454 | INFO | Hormuz Closure Probability: 27.35 %
2026-06-26 02:31:42,454 | INFO | Regime: Headline Repricing
2026-06-26 03:03:45,786 | INFO | Logger initialized.
2026-06-26 03:03:46,733 | INFO | Downloaded ^GSPC (370 rows)
2026-06-26 03:03:46,737 | INFO | Market cache saved.
2026-06-26 03:04:16,300 | INFO | Logger initialized.
2026-06-26 03:04:16,310 | INFO | ============================================================
2026-06-26 03:04:16,310 | INFO | Global Energy Stress OS
2026-06-26 03:04:16,310 | INFO | ============================================================
2026-06-26 03:04:16,617 | INFO | Downloaded CL=F (1377 rows)
2026-06-26 03:04:16,705 | INFO | Downloaded BZ=F (1378 rows)
2026-06-26 03:04:16,778 | INFO | Downloaded ^OVX (1375 rows)
2026-06-26 03:04:16,884 | INFO | Downloaded ^MOVE (1363 rows)
2026-06-26 03:04:16,980 | INFO | Downloaded DX-Y.NYB (1377 rows)
2026-06-26 03:04:17,087 | INFO | Downloaded JPY=X (1425 rows)
2026-06-26 03:04:17,202 | INFO | Downloaded GC=F (1377 rows)
2026-06-26 03:04:17,288 | INFO | Downloaded HG=F (1378 rows)
2026-06-26 03:04:17,396 | INFO | Downloaded ^GSPC (1375 rows)
2026-06-26 03:04:17,519 | INFO | Downloaded XLE (1375 rows)
2026-06-26 03:04:17,582 | INFO | Downloaded ^VIX (1376 rows)
2026-06-26 03:04:17,648 | INFO | Downloaded ^VVIX (1369 rows)
2026-06-26 03:04:17,716 | INFO | Downloaded ^SKEW (1335 rows)
2026-06-26 03:04:17,777 | INFO | Market cache saved.
2026-06-26 03:04:17,777 | INFO | Market Layer completed.
2026-06-26 03:04:34,362 | WARNING | GDELT status 429 for Hormuz Strait
2026-06-26 03:05:15,464 | WARNING | GDELT status 429 for Middle East tanker
2026-06-26 03:05:27,629 | WARNING | GDELT status 429 for Saudi OSP
2026-06-26 03:05:37,773 | WARNING | GDELT status 429 for VLCC
2026-06-26 03:05:42,226 | INFO | Completed.
2026-06-26 03:05:42,226 | INFO | Date: 2026-06-25
2026-06-26 03:05:42,226 | INFO | War Premium Score: 0.411
2026-06-26 03:05:42,226 | INFO | Hormuz Closure Probability: 27.26 %
2026-06-26 03:05:42,226 | INFO | Regime: Headline Repricing
2026-06-26 03:12:51,389 | INFO | Logger initialized.
2026-06-26 03:12:53,278 | INFO | Logger initialized.
2026-06-26 03:12:53,292 | INFO | ============================================================
2026-06-26 03:12:53,292 | INFO | Global Energy Stress OS
2026-06-26 03:12:53,293 | INFO | ============================================================
2026-06-26 03:12:53,618 | INFO | Downloaded CL=F (1377 rows)
2026-06-26 03:12:53,684 | INFO | Downloaded BZ=F (1378 rows)
2026-06-26 03:12:53,749 | INFO | Downloaded ^OVX (1375 rows)
2026-06-26 03:12:53,815 | INFO | Downloaded ^MOVE (1363 rows)
2026-06-26 03:12:53,881 | INFO | Downloaded DX-Y.NYB (1377 rows)
2026-06-26 03:12:53,960 | INFO | Downloaded JPY=X (1426 rows)
2026-06-26 03:12:54,070 | INFO | Downloaded GC=F (1377 rows)
2026-06-26 03:12:54,131 | INFO | Downloaded HG=F (1378 rows)
2026-06-26 03:12:54,193 | INFO | Downloaded ^GSPC (1375 rows)
2026-06-26 03:12:54,308 | INFO | Downloaded XLE (1375 rows)
2026-06-26 03:12:54,384 | INFO | Downloaded ^VIX (1376 rows)
2026-06-26 03:12:54,753 | INFO | Downloaded ^VVIX (1369 rows)
2026-06-26 03:12:54,834 | INFO | Downloaded ^SKEW (1335 rows)
2026-06-26 03:12:54,930 | INFO | Market cache saved.
2026-06-26 03:12:54,931 | INFO | Market Layer completed.
2026-06-26 03:13:09,477 | WARNING | GDELT status 429 for Hormuz Strait
2026-06-26 03:13:34,796 | WARNING | GDELT status 429 for oil supply disruption
2026-06-26 03:13:44,533 | WARNING | GDELT status 429 for Middle East tanker
2026-06-26 03:13:54,367 | WARNING | GDELT status 429 for Saudi OSP
2026-06-26 03:14:04,787 | WARNING | GDELT status 429 for VLCC
2026-06-26 03:14:09,332 | INFO | Completed.
2026-06-26 03:14:09,332 | INFO | Date: 2026-06-26
2026-06-26 03:14:09,332 | INFO | War Premium Score: 0.411
2026-06-26 03:14:09,332 | INFO | Hormuz Closure Probability: 27.35 %
2026-06-26 03:14:09,332 | INFO | Regime: Headline Repricing
2026-06-26 03:17:06,855 | INFO | Logger initialized.
2026-06-26 03:19:32,331 | INFO | Logger initialized.
2026-06-26 03:22:59,071 | INFO | Logger initialized.
2026-06-26 03:23:00,313 | INFO | Downloaded ^GSPC (370 rows)
2026-06-26 03:23:00,319 | INFO | Market cache saved.
2026-06-26 03:23:49,405 | INFO | Logger initialized.
2026-06-26 03:23:49,415 | INFO | ============================================================
2026-06-26 03:23:49,415 | INFO | Global Energy Stress OS
2026-06-26 03:23:49,415 | INFO | ============================================================
2026-06-26 03:23:50,128 | INFO | Downloaded CL=F (1377 rows)
